Agency,MMR Goal,Critical,Performance Indicator,FY13,FY14,FY15,FY16,FY17,TGT17,TGT18,5 Yr Trend,Desired Direction
DOHMH,1b, TRUE,Children aged 19-35 months with up-to-date immunizations (%),70.10%,72.10%,73.00%,74.70%,75.10%,75.00%,76.00%,Neutral,Up
DOE,5a, FALSE,Average expenditure per student ($),"$19,878","$20,814","$21,667","$23,560",NA,*,*,NA,*
DOP,2b, FALSE,Adult probationer early completion approval rate (%),81.00%,76.00%,81.00%,75.00%,75.00%,*,*,Neutral,Up
NYCHA,1d, TRUE,Major felony crimes in public housing developments,"5,018","5,328","4,858","5,205","5,084",↓,↓,Neutral,Down
DSNY,6a, FALSE,Letters responded to in 14 days (%),52%,65%,58%,73%,66%,*,*,Up,Up
DCP,3a, FALSE,Renewals and South Richmond actions certified/referred,NA,96,68,57,59,*,*,NA,*
FDNY,1c, TRUE,Civilian fire fatalities,47,81,55,64,43,↓,↓,Down,Down
HRA,2a, TRUE,Clients whom HRA helped obtain employment (000),NA,48.1,46.6,47,44.8,↑,↑,NA,Up
DOE,1b, FALSE,School-based workshops offered to parents (000),33,31,39,41,41,37,37,Up,Up
DOHMH,3b, TRUE,Restaurants scoring an ‘A’ grade (%),86.90%,90.00%,93.00%,92.70%,93.30%,↑,↑,Neutral,Up
DPR,2b, FALSE,– Hanging tree limbs,13.2,29.4,18.8,30.3,45.3,*,*,Up,Down
DCA,1a, FALSE,– Within 0-90 days (%),NA,NA,100%,100%,99%,100%,100%,NA,Up
DOF,7a, FALSE,Completed customer requests for interpretation,"3,254","4,353","4,466","5,453","7,699",*,*,Up,*
DOI,1b, TRUE,Referrals for criminal prosecution,"1,053",612,601,745,894,*,*,Neutral,*
DEP,4a, TRUE,Estimated bills (%),4.90%,3.70%,3.20%,3.00%,2.80%,5.00%,4.00%,Down,Down
DOE,2b, FALSE,Students receiving special education services (preliminary unaudited),"225,325","260,791","270,722","283,017","292,065",*,*,Up,*
LPC,1c, FALSE,Investigations completed,806,783,755,997,661,*,*,Neutral,*
DCP,1a, FALSE,Economic development and housing proposals completed and presented to the public,16,10,29,42,45,*,*,Up,Up
DOT,3a, FALSE,Crossing points with pedestrian ramps installed (%),95.00%,97.20%,97.00%,96.80%,97.20%,*,*,Neutral,Up
NYPD,1c, FALSE,Average response time to critical crimes in progress (dispatch and travel time only) (minutes),4.7,4.9,5.9,5.5,4.9,*,*,Neutral,Down
NYPD,3a, TRUE,Quality-of-life summonses,"458,397","404,278","331,832","323,980","279,117",*,*,Down,*
HRA,3b, FALSE,Domestic violence non-residential services programs average monthly caseload,NA,NA,NA,NA,"1,818",*,*,NA,Up
HPD,1b, FALSE,– Other emergency,"52,733","52,511","53,512","51,517","58,636",*,*,Neutral,*
ACS,3c, TRUE,Number in Close to Home aftercare (average),NA,93,122,121,97,*,*,NA,*
HPD,1b, FALSE,Alternative Enforcement Program - Buildings currently active,498,502,581,609,579,*,*,Up,*
DOF,3a, FALSE,Senior Citizen Rent Increase Exemption (SCRIE) - Initial applications received,"7,094","8,272","15,713","8,951","8,289",*,*,Up,*
DOF,7a, FALSE,CORE customer experience rating (0-100),86,92,93,81,96,90,90,Neutral,Up
NYPL-Research,NA, FALSE,Program sessions,"1,741","1,501","1,953","2,060","2,209","2,170","2,200",Up,Up
ACS,5a, FALSE,Letters responded to in 14 days (%),92.30%,87.40%,85.40%,97.10%,88.40%,*,*,Neutral,Up
DOE,1a, FALSE,– Science (%),88.00%,73.80%,74.80%,74.70%,NA,80.00%,80.00%,NA,Up
DORIS,2c, TRUE,Average time between records disposal eligibility and application sent to Law Department (months),0.6,0.6,0.5,0.6,0.2,2,2,Down,Down
QPL,NA, TRUE,Libraries open six days per week (%),33%,33%,33%,100%,100%,100%,100%,Up,Up
LAW,1a, FALSE,– Cases commenced against the City in federal court,"1,781","1,787","1,810","1,498","1,009","1,350","1,200",Down,*
FDNY,3a, FALSE,Ambulance collisions,793,730,806,"1,056","1,023",*,*,Up,Down
SCA,1c, TRUE,Capital improvement projects constructed on time or early (%),69%,72%,72%,86%,72%,80%,80%,Up,Up
DOT,2a, TRUE,Speed humps installed,300,274,382,395,365,250,250,Up,Up
NYCHA,1b, TRUE,Alleged elevator injuries reported to DOB,16,9,17,20,11,↓,↓,Neutral,Down
LPC,1b, FALSE,Permits for minor work issued within 10 business days (%),83%,91%,92%,95%,92%,*,*,Neutral,Up
DOF,1a, TRUE,Property taxes billed that are paid (%),97.50%,98.60%,98.50%,98.60%,98.70%,97.00%,97.00%,Neutral,Up
DOE,3b, FALSE,Percent of high school cohort taking at least 1 AP exam in 4 years of high school,23.90%,27.00%,28.70%,31.10%,NA,33.10%,35.10%,NA,Up
NYCHA,3a, TRUE,Emergency Transfer Program disposition time (days),54.25,45.91,48.17,39.6,33.24,45,45,Down,Down
NYCHA,3b, TRUE,Resident job placements,"1,567",874,"1,084","1,410","2,099","1,593","1,593",Up,Up
OATH,1a, FALSE,OATH Trials Division cases with decisions issued within 45 business days (%),98%,94%,93%,93%,93%,*,*,Neutral,Up
HPD,5a, FALSE,"Visitors to the Division of Tenant Resources, Client and Owner Services rating customer service as good or better (%)",99%,NA,85%,83%,89%,95%,95%,NA,Up
HRA,1a, TRUE,Cash assistance caseload (point in time)(000),193.1,182.4,192.4,196.1,194.5,*,*,Neutral,*
DYCD,1b, TRUE,Utilization rate for transitional independent living beds (%),91%,94%,96%,91%,93%,85%,90%,Neutral,Up
SBS,4a, TRUE,– M/WBEs awarded contracts after receiving procurement and capacity building assistance,447,472,613,723,824,625,849,Up,Up
DoITT,3a, FALSE,Video cable complaints resolved in 30 days or less (%),99.30%,99.40%,99.80%,100.00%,99.20%,98.00%,98.00%,Neutral,Up
DPR,1b, TRUE,Major felonies reported on Parks' properties (excludes Central Park) - Crimes against persons,NA,NA,488,612,670,↓,↓,NA,Down
SBS,1a, TRUE,Unique businesses receiving financing awards facilitated by NYC Business Solutions,"1,053",440,735,432,593,470,470,Down,Up
SCA,1c, TRUE,Capital improvement projects constructed within budget (%),71%,80%,83%,73%,85%,80%,80%,Up,Up
DoITT,1a, FALSE,Uptime of NYC.gov (%),99.99%,99.93%,99.99%,100.00%,100.00%,99.99%,99.99%,Neutral,Up
DOE,1a, FALSE,– Math (%),1.70%,12.70%,9.70%,9.90%,9.70%,*,*,Up,Up
DDC,1a, FALSE,Water mains (new and replaced) (miles),38.2,31.8,34.6,34.3,62.5,55.2,30,Up,*
DDC,1a, FALSE,Lane miles reconstructed,51.8,42.6,20.4,16.7,52,20.4,20,Down,*
CUNY,NA, FALSE,Student/faculty ratio - Senior Colleges,15:01,15:01,15:01,15:01,15:01,*,*,Neutral,Down
CUNY,NA, FALSE,Percentage of CUNY community college students receiving federal financial aid (Pell) (%),55.70%,63.10%,64.00%,61.90%,60.80%,*,*,Neutral,*
HPD,1a, FALSE,Total complaints reported,"541,397","548,626","553,135","549,640","541,858",*,*,Neutral,*
DOE,5a, TRUE,School safety - Seven major felony crimes,699,654,614,532,504,↓,↓,Down,Down
DSNY,6b, FALSE,Percent meeting time to close – Literature Request - Green Mixed Paper Recycling Decals (7 days),100,100,100,100,100,*,*,Neutral,*
LAW,1b, TRUE,Win rate on affirmative motions (%),72%,78%,74%,75%,76%,78%,75%,Neutral,Up
DOE,5a, FALSE,Accidents in schools - students,"40,526","40,025","41,235","42,314","40,005",*,*,Neutral,Down
FDNY,2a, TRUE,Average response time to life-threatening medical emergencies by fire companies (FDNY dispatch and travel time only) (minutes:seconds),4:16,4:21,4:27,4:32,4:35,4:35,4:38,Neutral,Down
DCAS,7a, FALSE,Fatalities resulting from collisions involving non-emergency City vehicles citywide,NA,NA,5,1,1,*,*,NA,Down
DOE,1a, FALSE,– Elementary/middle (%),93.30%,92.90%,93.40%,93.60%,93.30%,94.60%,95.30%,Neutral,Up
NYPD,1c, FALSE,End-to-end average response time to serious crimes in progress (minutes:seconds),8:31,8:55,9:38,9:24,8:50,*,*,Neutral,Down
DOF,3a, TRUE,Average time to process renewal DRIE applications (days),NA,NA,NA,7.6,4.2,10,10,NA,Down
DOT,1b, FALSE,Average in-house cost of asphalt per ton ($),$63.04,$61.25,$56.72,$51.77,NA,*,*,NA,Down
DCP,4a, FALSE,E-mails responded to in 14 days (%),81%,87%,90%,85%,83%,85%,85%,Neutral,Up
CUNY,NA, FALSE,Expenditures per student (full-time equivalent) at CUNY community colleges,"$11,193","$11,818","$12,058","$12,443","$13,611",*,*,Up,*
HPD,1b, FALSE,– Nonemergency violations issued,"306,943","313,042","333,752","368,849","399,335",*,*,Up,*
DOHMH,1b, TRUE,New tuberculosis cases (CY),651,656,585,575,565,↓,↓,Down,Down
DYCD,5a, FALSE,Calls answered in 30 seconds (%),54%,94%,47%,48%,43%,*,*,Down,Up
DOP,2b, FALSE,New enrollments in alternative-to-placement (ATP) programs,194,167,160,134,100,*,*,Down,*
DEP,5a, FALSE,Asbestos complaints received,"1,486","1,414","1,674","1,855","1,425",*,*,Neutral,*
DPR,6b, FALSE,Percent meeting time to first action - Root/Sewer/Sidewalk Condition - Trees and Sidewalks Program (30 days),82%,60%,64%,71%,60%,85%,85%,Down,*
DEP,2a, FALSE,Average time to respond to street cave-in complaints and make safe (days),2.5,2.5,2.5,4.6,1.9,*,*,Up,Down
DOT,2b, TRUE,Staten Island Ferry - Customer accident injury rate (per million passengers),1.12,1.51,1.48,0.81,1.54,1.34,1.34,Neutral,Down
DEP,7b, FALSE,Percent meeting time to first action - Water Maintenance - Hydrant Running Full (1 day),85%,87%,88%,88%,89%,85%,85%,Neutral,*
NYPD,1b, FALSE,Counterterrorism training (hrs) - Uniformed members,"259,761","206,781","216,556","210,582","182,331",*,*,Down,*
DFTA,3a, FALSE,E-mails responded to in 14 days (%),83.70%,96.50%,75.70%,81.40%,86.00%,*,*,Neutral,Up
ACS,2a, TRUE,EarlyLearn - Average family child care enrollment,"4,549","6,354","7,002","7,275","7,454","7,400","7,500",Up,Up
CUNY,NA, FALSE,Enrollment of first-time freshmen in CUNY community colleges,"18,434","17,742","19,322","19,022","18,506",*,*,Neutral,*
BIC,1b, TRUE,Average time to approve waste hauling applications (days) - New and Renewal,180,96,234,235,240,↓,↓,Up,Down
DHS,2b, TRUE,"Adult shelter inspections with safety, maintenance or cleanliness deficiencies per 1,000 beds",0.15,0,0.01,0,0,↓,↓,Down,Down
DPR,1a, FALSE,– Cleanliness of large parks (%),84%,85%,86%,88%,85%,*,*,Neutral,Up
DHS,2b, FALSE,"Evaluations for human services contracts completed on time, as compared to the goal (%)",97.20%,98.90%,99.40%,97.50%,NA,*,*,NA,Up
NYCHH,1a, FALSE,Patient Cycle Time - Adult Medicine (minutes),NA,NA,NA,88,79,60,60,NA,Down
DDC,1a, FALSE,Design projects completed,127,128,179,181,124,106,97,Up,*
HRA,5a, FALSE,Collisions involving City vehicles,43,62,43,51,34,*,*,Down,Down
DoITT,4a, FALSE,Inspected phones passing scorecard appearance standards (%),98%,97%,98%,99%,99%,95%,95%,Neutral,Up
DYCD,3c, FALSE,Participants achieving positive outcomes in immigrant services programs (%),53%,58%,59%,58%,64%,50%,60%,Up,Up
HPD,1a, FALSE,Inspections completed,"661,206","675,760","664,960","692,943","698,948","600,000","600,000",Neutral,*
DHS,6a, FALSE,CORE facility rating,91,89,95,100,92,*,*,Neutral,Up
DCAS,3a, TRUE,Lease revenue generated ($000),"$69,602","$64,979","$55,484","$52,419","$49,679","$42,078","$43,078",Down,*
ACS,3b, TRUE,In-Care Youth who received mental health services (%),58%,57%,50%,46%,46%,*,*,Down,*
DEP,2a, TRUE,Street segments with recurring confirmed sewer backups in the last 12 months (% of total segments),0.50%,0.40%,0.30%,0.30%,0.30%,1.00%,0.60%,Down,Down
DoITT,1d, FALSE,Service incidents - Telecommunications repair,"5,634","3,909","2,628","2,531","3,026",*,*,Down,*
DSNY,6b, FALSE,Percent meeting time to close – Sanitation Condition - Street Cond/Dump-Out/Drop-Off (5 days),95,97,96,95,95,*,*,Neutral,*
HRA,2a, TRUE,Safety Net Assistance (SNA) cases engaged in training or education in accordance with New York City guidelines (%),16.20%,19.00%,20.70%,25.50%,27.00%,↑,↑,Up,Up
DOP,2a, TRUE,Juvenile probationer rearrest rate (monthly average) (%),2.70%,3.50%,3.90%,4.80%,4.40%,3.00%,3.50%,Up,Down
DOI,1a, TRUE,Corruption prevention and whistleblower lectures conducted,611,535,378,408,477,400,400,Down,Up
DOI,3a, FALSE,Letters responded to in 14 days (%),100%,100%,100%,100%,100%,*,*,Neutral,Up
ACS,2a, FALSE,Abuse and/or neglect reports for children in child care that are substantiated (%),23.50%,21.80%,27.60%,15.10%,16.40%,*,*,Down,Down
NYCEM,2b, FALSE,Total participants at CERT emergency preparedness seminars,NA,NA,NA,NA,587,*,*,NA,*
FDNY,2a, TRUE,Combined average response time to life-threatening medical emergencies by ambulances & fire companies (FDNY dispatch and travel time only) (minutes:seconds),5:47,5:49,6:05,6:05,5:52,6:03,6:00,Neutral,Down
DOB,2c, TRUE,Construction-related fatalities,5,6,10,11,9,↓,↓,Up,Down
QPL,NA, FALSE,Active library cards (000),866,929,972,841,806,*,*,Neutral,*
DCA,4a, FALSE,PSL complaints closed,NA,NA,369,403,246,*,*,NA,*
DOF,3a, FALSE,DRIE renewal applications received,NA,NA,NA,"5,816","6,141",*,*,NA,*
DOB,4b, FALSE,Percent meeting time to first action - Illegal Conversion of Residential Building/Space (60 days),47%,62%,65%,56%,53%,57%,57%,Neutral,*
DSNY,6a, FALSE,E-mails responded to in 14 days (%),69%,75%,64%,75%,73%,*,*,Neutral,Up
DOB,1a, TRUE,Average customer in-person transaction time (minutes),NA,NA,NA,NA,7,↓,↓,NA,Down
ACS,1c, TRUE,Children placed in foster care in their community,33.40%,33.30%,36.90%,36.30%,36.50%,37.00%,38.00%,Up,Up
DOC,1d, TRUE,Population as percent of capacity (%),89%,86%,80%,80%,81%,96%,96%,Neutral,*
DEP,5a, FALSE,Average days to close air quality complaints,4.5,3.8,4.3,4,2.5,9,9,Down,Down
DOP,1a, FALSE,Adult investigation reports - on time completion (%),NA,NA,NA,NA,88.00%,*,*,NA,Up
DYCD,4a, TRUE,Agency assessments completed as a percent of total agency contracts (%),97%,91%,56%,90%,22%,90%,70%,Down,Up
DCAS,4a, TRUE,Average number of bidders per bid,3,3.3,3.3,3,3.2,3.4,3.4,Neutral,*
FDNY,2a, TRUE,Average response time to life-threatening medical emergencies by ambulances (FDNY dispatch and travel time only) (minutes:seconds),6:45,6:46,7:04,7:03,6:46,7:00,6:58,Neutral,Down
DOI,1a, FALSE,Corruption prevention lecture e-learning attendees,NA,NA,"1,797","15,298","18,561",*,*,NA,*
DOE,2b, FALSE,Special education enrollment - Pre-school,"26,023","29,863","31,103","31,262","31,583",*,*,Up,*
NYPL-Research,NA, FALSE,Reference queries (000),406,467,506,514,517,515,620,Up,Up
DPR,3a, FALSE,Capital projects completed,123,114,84,97,104,85,100,Down,*
NYPD,1a, FALSE,Juvenile arrests for major felonies,"3,016","2,883","2,671","2,495","2,198",*,*,Down,*
DHS,3b, TRUE,Families with children who exited to permanent housing and returned to the DHS shelter services system within one year (%),9.50%,12.50%,16.50%,10.00%,8.10%,12.50%,12.50%,Down,Down
DPR,5a, FALSE,Workplace injuries reported,358,397,396,374,321,*,*,Neutral,Down
CCRB,1b, FALSE,Officers who accepted mediation (%),79%,83%,84%,87%,96%,*,*,Up,Up
DOE,1a, TRUE,– Grade 6,26.8,26.6,26.4,26.7,26.8,26.2,25.8,Neutral,Down
DORIS,1a, FALSE,Percent of required agency reports submitted to the Municipal Library publications portal,NA,NA,NA,60%,60%,100%,100%,NA,Up
EDC,1a, FALSE,East River Ferry - Average monthly ridership,"101,579","107,494","113,366","131,896","136,463",*,*,Up,Up
DOT,5a, FALSE,Bridge projects (structural work) substantially completed on schedule (%),71%,100%,100%,100%,100%,100%,100%,Up,Up
DHS,2b, FALSE,Cost per day for shelter facilities - Family facilities ($) (annual),$102.74,$101.50,$105.37,$120.22,$167.84,*,*,Up,*
DSNY,6a, FALSE,Completed requests for interpretation,0,8,17,16,15,*,*,Up,*
BPL,NA, TRUE,Program attendance,"664,449","782,805","928,740","994,279","997,423","1,024,107","1,027,346",Up,Up
HRA,3a, FALSE,Requests for Emergency Assistance at the Rental Assistance Unit,NA,"57,912","65,138","82,306","79,624",*,*,NA,*
DCLA,1a, FALSE,Operating support payments made to Cultural Institutions Group by the 5th day of each month (%),100%,100%,100%,100%,100%,100%,100%,Neutral,Up
NYCHH,1c, FALSE,"Total correctional health clinical visits (includes intake exams, sick calls, follow-up, mental health and dental)","858,172","802,405","769,459","674,825","637,966",*,*,Down,*
CCRB,1a, TRUE,Officers disciplined (excluding pending and filed cases) (%),62%,60%,87%,82%,78%,*,*,Up,*
NYPD,5a, FALSE,Cases commenced against the City in state and federal court,"3,997","3,701","3,549","2,933","2,115",*,*,Down,*
DOC,1a, TRUE,Non-natural deaths of inmates in custody,3,2,2,2,0,↓,↓,Down,Down
DOP,2a, FALSE,Juvenile initial risk assessments completed,NA,NA,NA,"1,117","1,413",*,*,NA,*
DSNY,5a, FALSE,Total Environmental Control Board violations issued,"259,909","358,064","402,251","458,050","456,373",*,*,Up,*
DEP,2a, FALSE,Water main breaks per 100 miles of main in the last 12 months,5.8,7.3,8,5.7,6.1,*,*,Neutral,Down
DOB,2a, TRUE,Average time to respond to Priority B complaints (days),48.5,34.6,38.4,42.8,38.2,40,40,Down,Down
DYCD,4a, FALSE,Contracts terminated,4,4,2,13,3,2,0,Up,*
OATH,2a, TRUE,Total number of pre-hearing activities at the OATH Hearings Division,"177,394","245,037","250,911","298,819","313,665",*,*,Up,*
BIC,3a, FALSE,CORE customer experience rating of facilities (0-100),95,93,93,100,100,*,*,Neutral,Up
NYPD,4a, TRUE,"Courtesy, Professionalism and Respect (CPR) testing - Tests conducted","8,414","8,558","8,489","8,243","8,167",*,*,Neutral,*
DCAS,7a, FALSE,Average cost of cleaning per square foot ($),$2.80,$2.90,$2.90,$3.00,$3.20,*,*,Up,*
DYCD,2a, FALSE,Summer Youth Employment Program (SYEP) participants,"29,416","35,957","47,126","54,263","60,113","60,000","65,000",Up,*
NYPD,1a, TRUE,Major felony crime in transit system,"2,535","2,488","2,283","2,520","2,475",↓,↓,Neutral,Down
NYCHA,2a, TRUE,Active capital projects on schedule (%),24.30%,32.30%,24.40%,64.40%,69.40%,29.10%,29.10%,Up,Up
DOI,2a, TRUE,Average time to complete a background investigation (from date of receipt) (days),356,319,275,351,522,300,300,Up,Down
HPD,1a, FALSE,Total complaints closed,"540,035","544,229","547,823","558,417","541,216",*,*,Neutral,*
DHS,1a, TRUE,Adults receiving preventive services who did not enter the shelter system (%),96.70%,96.00%,93.50%,90.60%,92.60%,85.00%,85.00%,Neutral,Up
CCHR,2a, FALSE,School-based training sessions conducted,392,272,326,79,173,250,250,Down,Up
DOE,4a, FALSE,Hazardous building violations total backlog,123,119,109,94,90,*,*,Down,Down
SCA,1c, FALSE,New schools and additions - construction funds committed as a percent of initial authorized budget (%),95.40%,92.60%,92.90%,93.00%,91.60%,100.00%,100.00%,Neutral,Up
DSNY,5a, FALSE,Recycling cost per ton (fully loaded) ($),$656,$721,$684,$670,NA,*,*,NA,*
DOP,2a, FALSE,Probation violation proceedings ending in revocation for juvenile probationers (%),NA,NA,NA,NA,41%,*,*,NA,Down
BOE,NA, FALSE,Total registered voters (000),"4,640","4,610","4,568","4,552","4,927",*,*,Neutral,Up
DCLA,1c, TRUE,MFTA transactions,"5,653","5,995","6,021","6,376","6,356","5,300","5,300",Up,Up
DSNY,4a, FALSE,Salt used (tons),"183,597","492,369","522,841","302,229","391,719",*,*,Up,*
DCAS,7a, FALSE,– Injuries resulting from collisions involving City vehicles in the DCAS-managed fleet,NA,81,60,66,70,*,*,NA,Down
DoITT,1a, FALSE,Average utilization of shared City agencies mainframe system (%),79.60%,79.70%,72.30%,60.90%,69.90%,*,*,Down,*
DOE,5a, FALSE,Teachers absent 11 or more days (%),14.30%,15.90%,14.10%,13.60%,13.00%,*,*,Down,Down
NYPD,2a, FALSE,DWI arrests,"8,723","10,123","8,155","7,577","7,171",*,*,Down,*
ACS,3a, FALSE,"AWOL rate, Close to Home placement",NA,0.7,0.4,0.3,0.3,0.4,0.4,NA,Down
ACS,1d, TRUE,Children entering foster care who are placed with relatives (%)(preliminary),26.60%,25.70%,28.00%,26.30%,28.40%,30.00%,30.00%,Neutral,Up
SBS,5a, FALSE,Letters responded to in 14 days (%),100%,100%,100%,100%,100%,*,*,Neutral,Up
OATH,1a, FALSE,OATH Trials Division facts and conclusions adopted by agencies (%),99%,98%,99%,99%,99%,96%,96%,Neutral,Up
TLC,1d, TRUE,Average time to conduct a safety and emissions inspection of a medallion taxi (hours:minutes),0:55,0:53,0:50,0:48,0:58,1:00,1:00,Neutral,Down
DHS,3b, TRUE,Single adults who exited to permanent housing and returned to the DHS shelter services system within one year (%),21.50%,21.70%,21.80%,18.90%,17.10%,20.00%,20.00%,Down,Down
